TimeStampUTC,TimeFromLastMove,PuzzleUniqueID,ParentChain,ElementType,IsCompleted,Outcome,CurrentPuzzle
2025-08-14T19:21:21.8436928Z,00:00:000,GameStart,Room 1,Scene,Incomplete,NeutralMove,none
2025-08-14T19:21:22.3245358Z,00:00:000,GameStart,Room 1,Interaction,Incomplete,NeutralMove,none
2025-08-14T19:22:50.8420430Z,0.067037037,Amount 2 Cup Order Spot (1) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Vertical Amount Box -> Amount 2 Cup Order  -> Amount 2 Cup Order Spot (1) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:22:52.1940634Z,0.004826389,Amount 2 Cup Order Spot (1) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Vertical Amount Box -> Amount 2 Cup Order  -> Amount 2 Cup Order Spot (1) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:22:53.3625315Z,0.002638889,Amount 1 Cup Order Spot (1) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Vertical Amount Box -> Amount 1 Cup Order -> Amount 1 Cup Order Spot (1) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:26:25.4840028Z,0.148622685,BowtiePata Bowl - Pesto,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Pasta in Sauce -> LiquidFillManager -> BowtiePata Bowl - Pesto,Interaction,Completed,RightMove,Spoke Puzzle: Pasta in Sauce
2025-08-14T19:26:31.4622763Z,0.014791667,LinguinePasta Bowl - Carbonara,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Pasta in Sauce -> LiquidFillManager -> LinguinePasta Bowl - Carbonara,Interaction,Completed,RightMove,Spoke Puzzle: Pasta in Sauce
2025-08-14T19:26:34.4414509Z,0.012719907,PennePasta Bowl - Alfredo,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Pasta in Sauce -> LiquidFillManager -> PennePasta Bowl - Alfredo,Interaction,Completed,RightMove,Spoke Puzzle: Pasta in Sauce
2025-08-14T19:26:39.9355845Z,0.009189815,ElbowPasta Bowl - Tomato,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Pasta in Sauce -> LiquidFillManager -> ElbowPasta Bowl - Tomato,Interaction,Completed,RightMove,Spoke Puzzle: Pasta in Sauce
2025-08-14T19:26:40.4614322Z,0.006076389,LiquidFillManager,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Pasta in Sauce -> LiquidFillManager,Puzzle,Completed,RightMove,Spoke Puzzle: Pasta in Sauce
2025-08-14T19:26:40.4842608Z,00:00:022,Spoke Puzzle: Pasta in Sauce,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Pasta in Sauce,Puzzle,Completed,RightMove,Spoke Puzzle: Pasta in Sauce
2025-08-14T19:27:24.6647964Z,0.032638889,Carrot Amount Spot (1) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity -> Carrot Amount Spot (1) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:27:26.1006091Z,0.005729167,Amount 1 Cup Order Spot (1) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Vertical Amount Box -> Amount 1 Cup Order -> Amount 1 Cup Order Spot (1) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:27:28.6077451Z,0.007256944,Carrot Amount Spot (2) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity -> Carrot Amount Spot (2) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:27:32.9811427Z,0.007094907,Pasta Amount Spot (3) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Pasta Quantity -> Pasta Amount Spot (3) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:27:35.9565266Z,0.012673611,Tomato Amount Spot (4) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Tomatoes Quantity -> Tomato Amount Spot (4) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:27:36.8299648Z,0.010104167,Tomato Amount Spot (4) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Tomatoes Quantity -> Tomato Amount Spot (4) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:27:47.6516586Z,0.016446759,Pasta Amount Spot (4) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Pasta Quantity -> Pasta Amount Spot (4) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:29:37.0698404Z,0.080532407,SeedPlot 2hrs Snap Area 2hr - Stake Tomato,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 2hrs Sunlight Puzzle -> SeedPlot 2hrs Snap Area 2hr - Stake Tomato,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:37.0879297Z,00:00:018,2hrs Sunlight Puzzle,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 2hrs Sunlight Puzzle,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:40.8191922Z,0.010543981,SeedPlot 4hrs Snap Area 4hr - Stake Spinach,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 4hrs Sunlight Puzzle  -> SeedPlot 4hrs Snap Area 4hr - Stake Spinach,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:40.8377368Z,00:00:018,4hrs Sunlight Puzzle ,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 4hrs Sunlight Puzzle ,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:48.9343305Z,00:08:096,SeedPlot 8hrs Snap Area 8hr - Stake Cauliflower,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 8hrs Sunlight Puzzle  -> SeedPlot 8hrs Snap Area 8hr - Stake Cauliflower,Interaction,Incomplete,WrongMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:50.4605040Z,0.006782407,SeedPlot 6hrs Snap Area 6hr - Stake Pumpkin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 6hrs Sunlight Puzzle -> SeedPlot 6hrs Snap Area 6hr - Stake Pumpkin,Interaction,Incomplete,WrongMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:51.9695572Z,0.006585648,SeedPlot 6hrs Snap Area 6hr - Stake Pumpkin Removed,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 6hrs Sunlight Puzzle -> SeedPlot 6hrs Snap Area 6hr - Stake Pumpkin Removed,Interaction,Incomplete,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:53.5152277Z,0.007002315,SeedPlot 8hrs Snap Area 8hr - Stake Cauliflower Removed,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 8hrs Sunlight Puzzle  -> SeedPlot 8hrs Snap Area 8hr - Stake Cauliflower Removed,Interaction,Incomplete,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:55.1487341Z,0.008020833,SeedPlot 6hrs Snap Area 6hr - Stake Cauliflower,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 6hrs Sunlight Puzzle -> SeedPlot 6hrs Snap Area 6hr - Stake Cauliflower,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:55.1555785Z,00:00:006,6hrs Sunlight Puzzle,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 6hrs Sunlight Puzzle,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:58.5634822Z,0.006793981,SeedPlot 8hrs Snap Area 8hr - Stake Pumpkin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 8hrs Sunlight Puzzle  -> SeedPlot 8hrs Snap Area 8hr - Stake Pumpkin,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:58.5844913Z,00:00:021,8hrs Sunlight Puzzle ,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting -> 8hrs Sunlight Puzzle ,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:58.5972978Z,00:00:012,Amount of Sunlight Sorting,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight -> Amount of Sunlight Sorting,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:29:58.6036793Z,00:00:006,Spoke Puzzle: Amount of Sunlight,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Sunlight,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Sunlight
2025-08-14T19:30:40.2224123Z,0.035625,Beans Amount Spot (1) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Beans Quantity -> Beans Amount Spot (1) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:30:41.5682852Z,0.0046875,Carrot Amount Spot (1) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity -> Carrot Amount Spot (1) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:30:43.7935073Z,0.003993056,Pasta Amount Spot (3) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Pasta Quantity -> Pasta Amount Spot (3) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:30:48.1051318Z,0.006377315,Tomato Amount Spot (3) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Tomatoes Quantity -> Tomato Amount Spot (3) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:32:09.7821798Z,0.064074074,Eggs Token Socket (2) - Filled,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Egg -> Eggs Token Socket (2) - Filled,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:09.7880415Z,00:00:006,Egg,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Egg,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:28.0958662Z,0.016053241,Fish Token Socket (3) - Filled,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Fish  -> Fish Token Socket (3) - Filled,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:28.1143860Z,00:00:018,Fish ,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Fish ,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:35.7443258Z,0.012152778,Penuts Token Socket (4) - Filled,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Penuts -> Penuts Token Socket (4) - Filled,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:35.7517012Z,00:00:007,Penuts,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Penuts,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:41.6595445Z,0.013969907,Tofu Token Socket (1) - Filled,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Tofu -> Tofu Token Socket (1) - Filled,Interaction,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:41.6717919Z,00:00:012,Tofu,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List -> Tofu,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:41.6807946Z,00:00:009,Socket List,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein -> Socket List,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:32:41.7005212Z,00:00:019,Spoke Puzzle: Amount of Protein,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Amount of Protein,Puzzle,Completed,RightMove,Spoke Puzzle: Amount of Protein
2025-08-14T19:33:44.7071040Z,01:03:006,GreenOnion Valve Combo - TwentyOz,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Water Amount -> GreenOnion Valve Combo - TwentyOz,Interaction,Completed,RightMove,Spoke Puzzle: Water Amount
