fixation_count,fixation_duration_mean,fixation_duration_max,fixation_duration_std,saccade_count,saccade_amplitude_mean,saccade_amplitude_max,gaze_target_entropy,n_unique_targets,clue_dwell,puzzle_dwell,env_dwell,puzzle_object_ratio,gaze_head_coupling,revisit_rate,gaze_dispersion,eye_confidence_mean,blink_proxy,n_gaze_samples,participant_id,window_start
10,0.3756,0.7092,0.1707,9,1.0853,62.1156,1.9869,11,0.0,0.0,0.9682,0.0,0.5019,0.7,0.2725,1.0,0.0,346,1,0.0
8,0.4351,0.6556,0.1524,7,0.6355,13.3007,2.4306,11,0.0,0.0,0.9749,0.0,0.1192,0.5,0.1107,1.0,0.0,359,1,5.0
12,0.2968,0.6685,0.1463,11,2.4198,18.0177,3.1983,15,0.0,0.0,0.8719,0.0,0.18,0.4167,0.6369,1.0,0.0,359,1,10.0
8,0.5267,1.4318,0.4813,7,0.5202,13.3877,2.1445,8,0.0,0.0,1.0,0.0,0.2794,0.375,0.0877,1.0,0.0,360,1,15.0
6,0.4638,1.1146,0.3988,5,1.3597,18.4521,2.9539,14,0.0,0.0,0.7604,0.0,0.1684,0.0,1.1048,1.0,0.0,359,1,20.0
7,0.5127,1.1686,0.3403,6,1.3764,14.3101,2.4687,15,0.0028,0.0,0.8106,0.0028,0.3324,0.4286,0.4861,1.0,0.0,359,1,25.0
8,0.2732,0.4436,0.0959,7,0.7562,11.739,3.8143,32,0.4803,0.1124,0.3202,0.5927,0.219,0.5,0.2455,1.0,0.0,356,1,30.0
13,0.2729,0.8079,0.1893,12,0.8713,12.1427,3.1017,22,0.3844,0.0167,0.4903,0.4011,0.0075,0.4615,0.2654,1.0,0.0,359,1,35.0
7,0.4972,2.3809,0.7737,6,0.949,17.8147,2.697,22,0.075,0.0278,0.8417,0.1028,0.0232,0.1429,0.4937,1.0,0.0,360,1,40.0
9,0.4291,1.0582,0.2705,8,0.947,16.9938,2.1711,11,0.0401,0.0602,0.8997,0.1003,0.0464,0.6667,0.5365,1.0,0.0,349,1,45.0
10,0.466,1.4201,0.3338,9,0.9988,17.4139,0.8604,2,0.2837,0.0,0.7163,0.2837,0.0165,0.8,0.2234,1.0,0.0,349,1,50.0
7,0.633,2.379,0.7552,6,0.8851,15.4256,0.8658,5,0.795,0.0055,0.1994,0.8006,0.022,0.7143,0.1491,1.0,0.0,361,1,55.0
10,0.4146,0.9756,0.2412,9,1.1267,15.7615,2.6261,16,0.0,0.0248,0.843,0.0248,0.0034,0.4,0.5491,1.0,0.0,363,1,60.0
