participant_id,puzzle_id,window_start,attention_label,attention_confidence,action_label,action_confidence,performance_label,performance_confidence,temporal_label,temporal_confidence,disagreement_type,disagreement_intensity,dominant_tension,n_contradictions,n_constructive,confidence_spread
1,Transition,0.1016993,searching,0.825,hesitant,0.65,progressing,0.633,transient,0.5,contradictory,0.729,scattered_but_progressing,1,1,0.116
1,Transition,5.010511,searching,0.936,inactive,0.564,stalled,0.7,transient,0.4,contradictory,0.75,scanning_but_passive,2,2,0.196
1,Transition,10.0059112,searching,0.95,inactive,0.577,stalled,0.7,transient,0.4,contradictory,0.763,scanning_but_passive,2,2,0.2
1,Transition,15.0011804,searching,0.727,hesitant,0.337,progressing,0.9,transient,0.4,contradictory,0.814,scattered_but_progressing,1,1,0.232
1,Transition,20.0129621,searching,0.95,hesitant,0.65,progressing,0.767,transient,0.4,contradictory,0.859,scattered_but_progressing,1,1,0.2
1,Transition,25.0121404,searching,0.945,hesitant,0.65,progressing,0.633,persistent,0.75,contradictory,0.789,scattered_but_progressing,1,1,0.124
1,Transition,30.0052047,searching,0.95,hesitant,0.65,stalled,0.7,transient,0.4,constructive,0.193,pop_confirms_exploration,0,1,0.195
1,Transition,35.0032547,searching,0.95,inactive,0.49,stalled,0.7,transient,0.4,contradictory,0.72,scanning_but_passive,2,2,0.212
1,Transition,40.0012136,searching,0.95,hesitant,0.85,progressing,0.633,transient,0.4,contradictory,0.791,scattered_but_progressing,1,1,0.212
1,Transition,45.0003627,searching,0.874,active,0.489,progressing,0.9,transient,0.4,contradictory,0.887,scattered_but_progressing,1,2,0.224
1,Transition,50.0076582,focused,0.616,inactive,0.798,stalled,0.7,transient,0.4,contradictory,0.707,focused_but_idle,1,2,0.147
1,Transition,55.0059887,focused,0.759,inactive,0.809,stalled,0.7,transient,0.4,contradictory,0.784,focused_but_idle,1,1,0.159
1,Transition,60.0039773,searching,0.943,inactive,0.773,stalled,0.71,looping,0.65,contradictory,0.858,scanning_but_passive,2,2,0.109
1,Transition,65.0046002,focused,0.227,hesitant,0.65,progressing,0.869,transient,0.4,constructive,0.452,focused_progress,0,1,0.244
1,Transition,70.0124921,searching,0.637,hesitant,0.65,progressing,0.853,transient,0.4,contradictory,0.745,scattered_but_progressing,1,1,0.16
1,Transition,75.0054848,focused,0.655,hesitant,0.85,progressing,0.571,transient,0.4,constructive,0.387,focused_progress,0,1,0.162
1,Transition,80.013422,focused,0.522,hesitant,0.85,progressing,0.555,transient,0.4,constructive,0.462,focused_progress,0,1,0.165
1,Transition,85.0032271,focused,0.614,hesitant,0.637,progressing,0.539,persistent,0.75,constructive,0.423,focused_progress,0,1,0.076
1,Transition,90.0125462,locked,0.608,inactive,0.924,stalled,0.779,transient,0.4,constructive,0.148,passive_and_stuck,0,3,0.196
1,Transition,95.0127827,focused,0.599,hesitant,0.85,progressing,0.641,transient,0.4,constructive,0.38,focused_progress,0,1,0.16
1,Transition,100.0069473,searching,0.418,hesitant,0.637,progressing,0.369,transient,0.4,contradictory,0.393,scattered_but_progressing,1,0,0.106
1,Transition,105.0052461,searching,0.95,hesitant,0.85,progressing,0.609,transient,0.4,contradictory,0.779,scattered_but_progressing,1,1,0.214
1,Transition,110.002259,locked,0.74,hesitant,0.637,progressing,0.345,transient,0.4,constructive,0.346,pop_confirms_impasse,0,1,0.163
1,Transition,115.0110648,focused,0.95,hesitant,0.488,progressing,0.71,transient,0.4,constructive,0.17,focused_progress,0,1,0.213
1,Transition,120.0099156,focused,0.665,inactive,0.643,stalled,0.335,transient,0.4,contradictory,0.654,focused_but_idle,1,1,0.145
1,Transition,125.0077478,locked,0.94,inactive,0.95,stalled,0.858,transient,0.4,constructive,0.055,frozen_on_clue,0,3,0.226
1,Transition,130.011075,searching,0.825,inactive,0.894,stalled,0.87,looping,0.65,contradictory,0.859,scanning_but_passive,2,2,0.095
1,Transition,135.0024471,searching,0.575,inactive,0.95,stalled,0.881,looping,0.65,contradictory,0.762,scanning_but_passive,2,2,0.156
1,Spoke Puzzle: Pasta in Sauce,140.0091112,focused,0.5,inactive,0.95,stalled,0.892,looping,0.65,contradictory,0.725,focused_but_idle,1,2,0.182
1,Spoke Puzzle: Pasta in Sauce,145.0051718,searching,0.399,active,0.573,progressing,0.9,transient,0.4,contradictory,0.649,scattered_but_progressing,1,2,0.204
1,Spoke Puzzle: Pasta in Sauce,150.0185715,searching,0.79,active,0.561,progressing,0.9,transient,0.4,contradictory,0.845,scattered_but_progressing,1,2,0.195
1,Spoke Puzzle: Pasta in Sauce,155.0103002,searching,0.772,inactive,0.662,stalled,0.7,transient,0.4,contradictory,0.717,scanning_but_passive,2,2,0.14
1,Spoke Puzzle: Pasta in Sauce,160.0010048,searching,0.41,inactive,0.693,stalled,0.7,transient,0.4,contradictory,0.551,scanning_but_passive,1,1,0.146
1,Spoke Puzzle: Pasta in Sauce,165.0118647,locked,0.642,inactive,0.749,stalled,0.7,looping,0.65,constructive,0.276,passive_and_stuck,0,3,0.043
1,Spoke Puzzle: Pasta in Sauce,170.0074448,searching,0.197,inactive,0.561,stalled,0.7,looping,0.65,contradictory,0.379,scanning_but_passive,2,2,0.197
1,Spoke Puzzle: Pasta in Sauce,175.0052754,focused,0.487,inactive,0.787,stalled,0.7,looping,0.65,contradictory,0.637,focused_but_idle,1,2,0.109
1,Spoke Puzzle: Pasta in Sauce,180.0131885,focused,0.389,hesitant,0.337,progressing,0.9,transient,0.4,constructive,0.355,focused_progress,0,1,0.228
1,Spoke Puzzle: Pasta in Sauce,185.0068066,focused,0.5,hesitant,0.488,progressing,0.633,transient,0.4,constructive,0.433,focused_progress,0,2,0.083
1,Spoke Puzzle: Pasta in Sauce,190.0056242,focused,0.5,inactive,0.734,stalled,0.7,transient,0.4,contradictory,0.617,focused_but_idle,2,1,0.139
