participant_id,episode_start,episode_end,episode_duration,n_prompts,has_explicit,io_detected,expert_detected,io_latency_sec
10,333.870753,395.870753,62.0,1,False,True,True,-13.87075299999998
10,530.870753,537.870753,7.0,1,False,True,True,-10.870753000000036
10,625.870753,708.870753,83.0,1,False,True,True,-0.8707530000000361
10,815.870753,845.870753,30.0,1,False,True,False,24.129246999999964
10,1049.870753,1055.870753,6.0,2,True,True,False,15.129247000000078
10,1171.870753,1351.870753,180.0,5,True,True,False,-11.870752999999922
10,1464.870753,1464.870753,0.0,1,True,True,False,-14.870752999999922
10,1932.870753,2046.870753,114.0,1,False,True,True,-2.8707529999999224
10,2676.870753,2756.870753,80.0,4,True,True,False,33.12924699999985
10,3090.870753,3117.870753,27.0,1,False,True,True,-10.87075300000015
10,3188.870753,3211.870753,23.0,3,True,True,True,-13.87075300000015
10,3506.870753,3506.870753,0.0,1,True,True,False,-11.87075300000015
12,267.117705,331.117705,64.0,1,False,True,True,-12.117705
12,503.117705,503.117705,0.0,1,True,False,False,
12,775.117705,927.117705,152.0,3,False,True,True,4.882294999999999
12,1497.117705,1515.117705,18.0,1,False,True,False,-7.117704999999887
12,1985.117705,2070.117705,85.00000000000023,2,True,True,False,-5.117704999999887
12,2254.117705,2255.117705,1.0,1,False,True,False,-9.117705000000115
14,316.431349,316.431349,0.0,1,True,True,True,13.568650999999988
14,482.431349,753.431349,270.99999999999994,2,False,True,True,-12.431349000000012
14,863.431349,992.431349,129.0,1,False,True,False,6.568651000000045
14,1053.431349,1091.431349,38.0,1,False,True,False,-13.431348999999955
14,1169.431349,1237.431349,68.0,1,False,True,False,-4.431348999999955
14,1368.431349,1435.431349,67.0,1,False,True,True,-13.431348999999955
14,103919.431349,104519.431349,600.0,1,False,False,False,
14,108899.431349,108899.431349,0.0,1,True,False,False,
14,113159.431349,113759.431349,600.0,1,False,False,False,
14,123899.431349,124199.431349,300.0,1,False,False,False,
14,124379.431349,124619.431349,240.0,1,False,False,False,
14,138599.431349,139079.431349,480.0,1,False,False,False,
1,659.5399,722.5399,63.0,1,False,True,False,-14.539899999999989
1,843.5399,883.5399,40.0,1,False,True,False,-3.5398999999999887
22,284.275625,313.275625,29.0,1,False,True,True,-4.275624999999991
22,564.275625,594.275625,30.0,1,False,True,False,-4.275624999999991
22,694.275625,749.275625,55.0,1,False,True,False,-4.275624999999991
22,1608.275625,1775.275625,167.0,3,True,True,False,-8.275624999999991
22,1916.275625,1916.275625,0.0,1,True,True,False,-11.275624999999991
22,2080.275625,2080.275625,0.0,1,True,True,False,-0.2756250000002183
23,43.439063,43.439063,0.0,1,True,False,True,
23,233.439063,582.439063,349.0,2,False,True,True,-13.439063000000004
23,733.439063,823.439063,90.0,1,False,True,True,-13.439063000000033
23,1015.439063,1056.439063,41.0,1,False,True,False,-10.439063000000033
23,1391.439063,1478.439063,87.0,3,True,True,False,8.560936999999967
23,1650.439063,1650.439063,0.0,1,True,True,False,4.560936999999967
23,1771.439063,1896.439063,125.0,3,True,True,False,-11.439063000000033
23,1969.439063,2130.439063,160.99999999999977,3,False,True,True,-14.439063000000033
2,441.934533,467.934533,26.0,1,False,True,False,-11.934532999999988
2,674.934533,764.934533,90.0,1,False,True,False,-4.934532999999988
2,867.934533,897.934533,30.0,1,False,True,False,-7.934532999999988
2,1039.934533,1063.934533,24.0,1,False,True,False,10.065466999999899
2,1164.934533,1370.934533,206.0,2,False,True,True,-14.934533000000101
3,147.301054,150.301054,3.0,1,False,False,True,
3,410.301054,629.301054,219.0,5,False,True,True,-0.3010540000000219
3,977.301054,1204.301054,227.0,3,False,True,False,32.69894599999998
3,1434.301054,1575.301054,141.0,3,True,True,False,75.69894599999998
3,1751.301054,1810.301054,59.0,1,False,True,False,-11.301054000000022
5,225.515915,440.515915,215.0,5,False,True,True,-10.515915000000007
5,633.515915,789.515915,156.0,2,False,True,False,1.48408500000005
5,1069.515915,1116.515915,47.0,2,False,True,False,-4.51591499999995
5,1346.515915,1591.515915,245.0,4,True,True,True,13.48408500000005
6,64.5203,103.5203,39.0,1,False,False,True,
6,552.5203,667.5203,115.0,2,False,True,True,7.47969999999998
6,834.5203,857.5203,23.0,1,False,True,False,-14.52030000000002
6,984.5203,1010.5203,26.0,1,False,True,True,5.47969999999998
6,1624.5203,1650.5203,26.0,1,False,True,False,-14.520299999999907
6,1847.5203,2206.5203,359.0000000000002,12,True,True,False,-12.520299999999907
6,2403.5203,2797.5203,394.0,10,True,True,True,-13.520300000000134
6,2943.5203,2968.5203,25.0,3,True,True,False,-13.520300000000134
9,512.164392,626.164392,114.0,5,True,True,True,-7.164392000000021
9,697.164392,840.164392,143.0,5,True,True,True,-12.16439200000002
9,989.164392,989.164392,0.0,1,True,True,False,-14.16439200000002
9,1083.164392,1121.164392,38.0,2,True,True,False,-3.164391999999907
9,1324.164392,1339.164392,15.0,2,True,True,True,-14.164391999999907
9,1593.164392,1595.164392,2.0,1,False,True,True,-13.164391999999907
9,1883.164392,1908.164392,25.0,1,False,True,False,-13.164391999999907
9,2178.164392,2178.164392,0.0,1,True,True,False,-13.164392000000134
9,2351.164392,2457.164392,106.0,3,False,True,False,113.83560799999987
9,2673.164392,2699.164392,26.0,1,False,True,False,-8.164392000000134
9,2958.164392,3023.164392,65.0,2,False,False,False,
9,3135.164392,3158.164392,23.0,1,False,True,True,-5.164392000000134
