participant_id,window_start,facilitator_prompt_type,facilitator_cat
1,0.0,none,watch
1,5.0,none,watch
1,10.0,none,watch
1,15.0,none,watch
1,20.0,none,watch
1,25.0,none,watch
1,30.0,none,watch
1,35.0,none,watch
1,40.0,none,watch
1,45.0,none,watch
1,50.0,none,watch
1,55.0,none,watch
1,60.0,none,watch
1,65.0,none,watch
1,70.0,none,watch
1,75.0,none,watch
1,80.0,none,watch
1,85.0,none,watch
1,90.0,none,watch
1,95.0,none,watch
1,100.0,none,watch
1,105.0,none,watch
1,110.0,none,watch
1,115.0,none,watch
1,120.0,none,watch
1,125.0,none,watch
1,130.0,none,watch
1,135.0,none,watch
1,140.0,none,watch
1,145.0,none,watch
1,150.0,none,watch
1,155.0,none,watch
1,160.0,none,watch
1,165.0,none,watch
1,170.0,none,watch
1,175.0,none,watch
1,180.0,none,watch
1,185.0,none,watch
1,190.0,none,watch
1,195.0,none,watch
1,200.0,none,watch
1,205.0,none,watch
1,210.0,none,watch
1,215.0,none,watch
1,220.0,none,watch
1,225.0,none,watch
1,230.0,none,watch
1,235.0,none,watch
1,240.0,none,watch
1,245.0,none,watch
1,250.0,none,watch
1,255.0,none,watch
1,260.0,none,watch
1,265.0,none,watch
1,270.0,none,watch
1,275.0,none,watch
1,280.0,none,watch
1,285.0,none,watch
1,290.0,none,watch
1,295.0,none,watch
1,300.0,none,watch
1,305.0,none,watch
1,310.0,none,watch
1,315.0,none,watch
1,320.0,none,watch
1,325.0,none,watch
1,330.0,none,watch
1,335.0,none,watch
1,340.0,none,watch
1,345.0,none,watch
1,350.0,none,watch
1,355.0,none,watch
1,360.0,none,watch
1,365.0,none,watch
1,370.0,none,watch
1,375.0,none,watch
1,380.0,none,watch
1,385.0,none,watch
1,390.0,none,watch
1,395.0,none,watch
1,400.0,none,watch
1,405.0,none,watch
1,410.0,none,watch
1,415.0,none,watch
1,420.0,none,watch
1,425.0,none,watch
1,430.0,none,watch
1,435.0,none,watch
1,440.0,none,watch
1,445.0,none,watch
1,450.0,none,watch
1,455.0,none,watch
1,460.0,none,watch
1,465.0,none,watch
1,470.0,none,watch
1,475.0,none,watch
1,480.0,none,watch
1,485.0,none,watch
1,490.0,none,watch
1,495.0,none,watch
1,500.0,none,watch
1,505.0,none,watch
1,510.0,none,watch
1,515.0,none,watch
1,520.0,none,watch
1,525.0,none,watch
1,530.0,none,watch
1,535.0,none,watch
1,540.0,none,watch
1,545.0,none,watch
1,550.0,none,watch
1,555.0,none,watch
1,560.0,none,watch
1,565.0,none,watch
1,570.0,none,watch
1,575.0,none,watch
1,580.0,none,watch
1,585.0,none,watch
1,590.0,none,watch
1,595.0,none,watch
1,600.0,none,watch
1,605.0,none,watch
1,610.0,none,watch
1,615.0,none,watch
1,620.0,none,watch
1,625.0,none,watch
1,630.0,none,watch
1,635.0,none,watch
1,640.0,none,watch
1,645.0,none,watch
1,650.0,none,watch
1,655.0,reflective,probe
1,660.0,reflective,probe
1,665.0,reflective,probe
1,670.0,reflective,probe
1,675.0,reflective,probe
1,680.0,reflective,probe
1,685.0,reflective,probe
1,690.0,reflective,probe
1,695.0,reflective,probe
1,700.0,reflective,probe
1,705.0,reflective,probe
1,710.0,reflective,probe
1,715.0,reflective,probe
1,720.0,reflective,probe
1,725.0,none,watch
1,730.0,none,watch
1,735.0,none,watch
1,740.0,none,watch
1,745.0,none,watch
1,750.0,none,watch
1,755.0,none,watch
1,760.0,none,watch
1,765.0,none,watch
1,770.0,none,watch
1,775.0,none,watch
1,780.0,none,watch
1,785.0,none,watch
1,790.0,none,watch
1,795.0,none,watch
1,800.0,none,watch
1,805.0,none,watch
1,810.0,none,watch
1,815.0,none,watch
1,820.0,none,watch
1,825.0,none,watch
1,830.0,none,watch
1,835.0,none,watch
1,840.0,reflective,probe
1,845.0,reflective,probe
1,850.0,reflective,probe
1,855.0,reflective,probe
1,860.0,reflective,probe
1,865.0,reflective,probe
1,870.0,reflective,probe
1,875.0,reflective,probe
1,880.0,reflective,probe
1,885.0,none,watch
1,890.0,none,watch
1,895.0,none,watch
1,900.0,none,watch
1,905.0,none,watch
1,910.0,none,watch
1,915.0,none,watch
1,920.0,none,watch
1,925.0,none,watch
1,930.0,none,watch
1,935.0,none,watch
1,940.0,none,watch
1,945.0,none,watch
1,950.0,none,watch
1,955.0,none,watch
1,960.0,none,watch
1,965.0,none,watch
1,970.0,none,watch
1,975.0,none,watch
1,980.0,none,watch
1,985.0,none,watch
1,990.0,none,watch
1,995.0,none,watch
1,1000.0,none,watch
1,1005.0,none,watch
1,1010.0,none,watch
1,1015.0,none,watch
1,1020.0,none,watch
1,1025.0,none,watch
1,1030.0,none,watch
1,1035.0,none,watch
2,0.0,none,watch
2,5.0,none,watch
2,10.0,none,watch
2,15.0,none,watch
2,20.0,none,watch
2,25.0,none,watch
2,30.0,none,watch
2,35.0,none,watch
2,40.0,none,watch
2,45.0,none,watch
2,50.0,none,watch
2,55.0,none,watch
2,60.0,none,watch
2,65.0,none,watch
2,70.0,none,watch
2,75.0,none,watch
2,80.0,none,watch
2,85.0,none,watch
2,90.0,none,watch
2,95.0,none,watch
2,100.0,none,watch
2,105.0,none,watch
2,110.0,none,watch
2,115.0,none,watch
2,120.0,none,watch
2,125.0,none,watch
2,130.0,none,watch
2,135.0,none,watch
2,140.0,none,watch
2,145.0,none,watch
2,150.0,none,watch
2,155.0,none,watch
2,160.0,none,watch
2,165.0,none,watch
2,170.0,none,watch
2,175.0,none,watch
2,180.0,none,watch
2,185.0,none,watch
