participant_id,prompt_type,prompt_start_sec,prompt_end_sec,puzzle,io_hit,expert_hit,io_cats_nearby,expert_cats_nearby
10,reflective,333.870753,395.870753,Spoke Puzzle: Pasta in Sauce,True,True,"watch,intervene,probe","watch,intervene"
10,reflective,530.870753,537.870753,Spoke Puzzle: Pasta in Sauce,True,True,"watch,probe","watch,intervene"
10,reflective,625.870753,708.870753,Spoke Puzzle: Pasta in Sauce,True,True,"watch,probe,intervene","watch,intervene"
10,reflective,815.870753,845.870753,Spoke Puzzle: Pasta in Sauce,False,False,watch,watch
10,explicit,1049.870753,1049.870753,Spoke Puzzle: Amount of Protein,False,False,watch,watch
10,explicit,1055.870753,1055.870753,Spoke Puzzle: Amount of Protein,False,False,watch,watch
10,reflective,1171.870753,1274.870753,Spoke Puzzle: Amount of Protein,True,False,"intervene,watch,probe",watch
10,explicit,1279.870753,1279.870753,Spoke Puzzle: Amount of Protein,True,False,"intervene,probe,watch",watch
10,explicit,1283.870753,1283.870753,Spoke Puzzle: Amount of Protein,True,False,"probe,watch,intervene",watch
10,explicit,1286.870753,1286.870753,Spoke Puzzle: Amount of Protein,True,False,"watch,probe,intervene",watch
10,reflective,1309.870753,1351.870753,Spoke Puzzle: Amount of Protein,True,False,"intervene,probe,watch",watch
10,explicit,1464.870753,1464.870753,Spoke Puzzle: Amount of Protein,True,False,"probe,watch",watch
10,reflective,1932.870753,2046.870753,Spoke Puzzle: Water Amount,True,True,"intervene,watch,probe","watch,intervene"
10,reflective,2676.870753,2689.870753,Spoke Puzzle: Amount of Sunlight,True,False,probe,watch
10,explicit,2689.870753,2689.870753,Spoke Puzzle: Amount of Sunlight,True,False,probe,watch
10,reflective,2710.870753,2744.870753,Hub Puzzle: Cooking Pot,True,False,"probe,intervene",watch
10,explicit,2756.870753,2756.870753,Hub Puzzle: Cooking Pot,True,False,intervene,watch
10,reflective,3090.870753,3117.870753,Hub Puzzle: Cooking Pot,True,True,"watch,probe","watch,intervene"
10,explicit,3188.870753,3188.870753,Hub Puzzle: Cooking Pot,True,True,"watch,probe","watch,intervene"
10,explicit,3208.870753,3208.870753,Hub Puzzle: Cooking Pot,True,True,"probe,watch","watch,intervene"
10,explicit,3211.870753,3211.870753,Hub Puzzle: Cooking Pot,True,True,"probe,watch","watch,intervene"
10,explicit,3506.870753,3506.870753,Hub Puzzle: Cooking Pot,True,False,"probe,watch,intervene",watch
12,reflective,267.117705,331.117705,Spoke Puzzle: Pasta in Sauce,True,True,"intervene,watch,probe","watch,intervene"
12,explicit,503.117705,503.117705,Spoke Puzzle: Pasta in Sauce,False,False,watch,watch
12,reflective,775.117705,834.117705,Spoke Puzzle: Water Amount,True,True,"probe,watch,intervene","watch,intervene"
12,reflective,848.117705,863.117705,Spoke Puzzle: Water Amount,True,True,"watch,probe,intervene","watch,intervene"
12,reflective,863.117705,927.117705,Spoke Puzzle: Water Amount,True,True,"intervene,watch,probe","intervene,watch"
12,reflective,1497.117705,1515.117705,Spoke Puzzle: Amount of Sunlight,False,False,watch,watch
12,reflective,1985.117705,2047.117705,Hub Puzzle: Cooking Pot,True,False,probe,watch
12,explicit,2070.117705,2070.117705,Hub Puzzle: Cooking Pot,True,False,"probe,watch",watch
12,reflective,2254.117705,2255.117705,none,True,False,"watch,probe",watch
14,explicit,316.431349,316.431349,none,False,True,watch,"watch,intervene"
14,reflective,482.431349,638.431349,Spoke Puzzle: Pasta in Sauce,True,True,"watch,intervene","watch,intervene"
14,reflective,643.431349,753.431349,Spoke Puzzle: Pasta in Sauce,True,True,"intervene,watch,probe","intervene,watch"
14,reflective,863.431349,992.431349,Spoke Puzzle: Amount of Protein,True,False,"intervene,watch,probe",watch
14,reflective,1053.431349,1091.431349,Spoke Puzzle: Amount of Protein,True,False,"watch,probe,intervene",watch
14,reflective,1169.431349,1237.431349,Spoke Puzzle: Amount of Protein,True,False,"watch,intervene,probe",watch
14,reflective,1368.431349,1435.431349,Spoke Puzzle: Water Amount,True,True,"intervene,watch,probe","watch,intervene"
1,reflective,659.5399,722.5399,Spoke Puzzle: Amount of Sunlight,True,False,"probe,watch",watch
1,reflective,843.5399,883.5399,Hub Puzzle: Cooking Pot,True,False,"watch,probe,intervene",watch
22,reflective,284.275625,313.275625,Spoke Puzzle: Pasta in Sauce,True,True,"watch,probe","intervene,watch"
22,reflective,564.275625,594.275625,Spoke Puzzle: Amount of Protein,True,False,"probe,intervene",watch
22,reflective,694.275625,749.275625,Spoke Puzzle: Amount of Protein,True,False,"watch,probe,intervene",watch
22,explicit,1608.275625,1608.275625,Hub Puzzle: Cooking Pot,True,False,"intervene,probe,watch",watch
22,reflective,1651.275625,1663.275625,Hub Puzzle: Cooking Pot,True,False,"watch,intervene",watch
22,reflective,1690.275625,1775.275625,Hub Puzzle: Cooking Pot,True,False,"intervene,watch,probe",watch
22,explicit,1916.275625,1916.275625,Hub Puzzle: Cooking Pot,True,False,"watch,probe",watch
22,explicit,2080.275625,2080.275625,Hub Puzzle: Cooking Pot,False,False,watch,watch
23,explicit,43.439063,43.439063,none,False,True,watch,"intervene,watch"
23,reflective,233.439063,437.439063,Spoke Puzzle: Amount of Sunlight,True,True,"watch,intervene,probe","watch,intervene"
23,reflective,465.439063,582.439063,Spoke Puzzle: Amount of Sunlight,True,False,"watch,probe,intervene",watch
23,reflective,733.439063,823.439063,Spoke Puzzle: Water Amount,True,True,"watch,probe","watch,intervene"
23,reflective,1015.439063,1056.439063,Spoke Puzzle: Pasta in Sauce,False,False,watch,watch
23,explicit,1391.439063,1391.439063,Spoke Puzzle: Amount of Protein,False,False,watch,watch
23,reflective,1419.439063,1477.439063,Spoke Puzzle: Amount of Protein,True,False,"watch,intervene,probe",watch
