participant_id,puzzle_id,window_start,dominant_tension,suggested_support,support_confidence,support_rationale,support_category
1,Transition,0.1016993,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,5.010511,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,10.0059112,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,15.0011804,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,20.0129621,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,25.0121404,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,30.0052047,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,35.0032547,scanning_but_passive,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,40.0012136,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,45.0003627,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,50.0076582,idle_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,55.0059887,focused_but_idle,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,60.0039773,scanning_but_passive,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,65.0046002,focused_progress,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,70.0124921,scattered_but_progressing,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,75.0054848,navigating_but_idle,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,80.013422,focused_progress,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,85.0032271,focused_but_idle,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,90.0125462,focused_but_idle,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
1,Transition,95.0127827,focused_progress,wait,0.7,Transition phase — scanning and idle behavior is normal navigation.,watch
