participant_id,window_start_io,io_cat,disagreement_pattern,disagreement_intensity,dominant_tension,puzzle_id,window_start_round,window_start_expert,expert_state,expert_action,expert_cat,window_start,facilitator_prompt_type,facilitator_cat
1,0.1016993,watch,uncertain_checking,0.335,uncertain_checking,Transition,0.0,0.0,TriggerCheck,NONE,watch,0.0,none,watch
1,5.010511,watch,lost_and_passive,0.258,lost_and_passive,Transition,5.0,5.0,TriggerCheck,NONE,watch,5.0,none,watch
1,10.0059112,watch,scanning_but_passive,0.609,scanning_but_passive,Transition,10.0,10.0,TriggerCheck,NONE,watch,10.0,none,watch
1,15.0011804,watch,acting_while_looking_away,0.726,acting_while_looking_away,Transition,15.0,15.0,TriggerCheck,NONE,watch,15.0,none,watch
1,20.0129621,watch,none,1.0,none,Transition,20.0,20.0,TriggerCheck,NONE,watch,20.0,none,watch
1,25.0121404,watch,purposeful_scanning,0.552,purposeful_scanning,Transition,25.0,25.0,TriggerCheck,PROMPT,probe,25.0,none,watch
1,30.0052047,watch,purposeful_task_gaze,0.497,purposeful_task_gaze,Transition,30.0,30.0,TriggerCheck,NONE,watch,30.0,none,watch
1,35.0032547,watch,scanning_but_passive,0.573,scanning_but_passive,Transition,35.0,35.0,TriggerCheck,NONE,watch,35.0,none,watch
1,40.0012136,watch,purposeful_scanning,0.373,purposeful_scanning,Transition,40.0,40.0,TriggerCheck,NONE,watch,40.0,none,watch
1,45.0003627,watch,acting_while_looking_away,0.583,acting_while_looking_away,Transition,45.0,45.0,TriggerCheck,NONE,watch,45.0,none,watch
1,50.0076582,watch,watching_task_but_idle,0.417,watching_task_but_idle,Transition,50.0,50.0,TriggerCheck,NONE,watch,50.0,none,watch
1,55.0059887,watch,watching_task_but_idle,0.725,watching_task_but_idle,Transition,55.0,55.0,TriggerCheck,PROMPT,probe,55.0,none,watch
1,60.0039773,watch,scanning_but_passive,0.43,scanning_but_passive,Transition,60.0,60.0,TriggerCheck,NONE,watch,60.0,none,watch
1,65.0046002,watch,none,1.0,none,Transition,65.0,65.0,TriggerCheck,NONE,watch,65.0,none,watch
1,70.0124921,watch,systematic_search,0.493,systematic_search,Transition,70.0,70.0,TriggerCheck,NONE,watch,70.0,none,watch
1,75.0054848,watch,uncertain_checking,0.274,uncertain_checking,Transition,75.0,75.0,TriggerCheck,NONE,watch,75.0,none,watch
1,80.013422,watch,uncertain_checking,0.466,uncertain_checking,Transition,80.0,80.0,TriggerCheck,NONE,watch,80.0,none,watch
1,85.0032271,watch,none,1.0,none,Transition,85.0,85.0,TriggerCheck,PROMPT,probe,85.0,none,watch
1,90.0125462,watch,watching_task_but_idle,0.689,watching_task_but_idle,Transition,90.0,90.0,TriggerCheck,NONE,watch,90.0,none,watch
1,95.0127827,watch,none,1.0,none,Transition,95.0,95.0,TriggerCheck,NONE,watch,95.0,none,watch
1,100.0069473,watch,purposeful_task_gaze,0.599,purposeful_task_gaze,Transition,100.0,100.0,TriggerCheck,NONE,watch,100.0,none,watch
1,105.0052461,watch,systematic_search,0.438,systematic_search,Transition,105.0,105.0,TriggerCheck,NONE,watch,105.0,none,watch
1,110.002259,watch,none,1.0,none,Transition,110.0,110.0,TriggerCheck,NONE,watch,110.0,none,watch
1,115.0110648,watch,frozen_on_clue,0.335,frozen_on_clue,Transition,115.0,115.0,TriggerCheck,PROMPT,probe,115.0,none,watch
1,120.0099156,watch,deep_clue_reading,0.289,deep_clue_reading,Transition,120.0,120.0,TriggerCheck,NONE,watch,120.0,none,watch
1,125.0077478,probe,watching_task_but_idle,0.905,watching_task_but_idle,Transition,125.0,125.0,TriggerCheck,NONE,watch,125.0,none,watch
1,130.011075,probe,scanning_but_passive,0.639,scanning_but_passive,Transition,130.0,130.0,TriggerCheck,NONE,watch,130.0,none,watch
1,135.0024471,intervene,scanning_but_passive,0.581,scanning_but_passive,Transition,135.0,135.0,TriggerCheck,NONE,watch,135.0,none,watch
1,140.0091112,probe,frozen,0.796,frozen,Spoke Puzzle: Pasta in Sauce,140.0,140.0,Explore,NONE,watch,140.0,none,watch
1,145.0051718,watch,acting_while_looking_away,0.673,acting_while_looking_away,Spoke Puzzle: Pasta in Sauce,145.0,145.0,Explore,NONE,watch,145.0,none,watch
1,150.0185715,watch,acting_while_looking_away,0.617,acting_while_looking_away,Spoke Puzzle: Pasta in Sauce,150.0,150.0,Explore,NONE,watch,150.0,none,watch
1,155.0103002,watch,scanning_but_passive,0.564,scanning_but_passive,Spoke Puzzle: Pasta in Sauce,155.0,155.0,Explore,NONE,watch,155.0,none,watch
1,160.0010048,watch,watching_task_but_idle,0.647,watching_task_but_idle,Spoke Puzzle: Pasta in Sauce,160.0,160.0,Explore,NONE,watch,160.0,none,watch
1,165.0118647,probe,focused_but_idle,0.679,focused_but_idle,Spoke Puzzle: Pasta in Sauce,165.0,165.0,Explore,NONE,watch,165.0,none,watch
1,170.0074448,probe,focused_but_idle,0.621,focused_but_idle,Spoke Puzzle: Pasta in Sauce,170.0,170.0,Explore,NONE,watch,170.0,none,watch
1,175.0052754,probe,focused_but_idle,0.823,focused_but_idle,Spoke Puzzle: Pasta in Sauce,175.0,175.0,Solving,NONE,watch,175.0,none,watch
1,180.0131885,watch,task_engaged,0.404,task_engaged,Spoke Puzzle: Pasta in Sauce,180.0,180.0,PossiblyStuck,NONE,watch,180.0,none,watch
1,185.0068066,probe,locked_on_environment,0.532,locked_on_environment,Spoke Puzzle: Pasta in Sauce,185.0,185.0,PossiblyStuck,NONE,watch,185.0,none,watch
1,190.0056242,probe,frozen,0.681,frozen,Spoke Puzzle: Pasta in Sauce,190.0,190.0,Solving,NONE,watch,190.0,none,watch
1,195.0056488,watch,focused_but_idle,0.596,focused_but_idle,Spoke Puzzle: Pasta in Sauce,195.0,195.0,Victory,NONE,watch,195.0,none,watch
1,200.0008866,watch,scanning_but_passive,0.497,scanning_but_passive,Transition,200.0,200.0,Victory,NONE,watch,200.0,none,watch
1,205.0056202,watch,lost_and_passive,0.421,lost_and_passive,Transition,205.0,205.0,Victory,NONE,watch,205.0,none,watch
1,210.0127188,watch,acting_while_looking_away,0.664,acting_while_looking_away,Transition,210.0,210.0,Victory,NONE,watch,210.0,none,watch
